Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
675 Produk gulungan datar dari baja campuran,103.99,116.24,109.2,117.44,131.78,124.04,123.07,135,142.36,152.86,157.12,162.09,136.38
"676 Jeruji besi dan baja, batang, ujung, bentuk dan bagian (termasuk lapisan tiang pancang)",58.78,94.5,90.07,96.25,83.64,89.34,112.33,104.38,118.76,113.31,105.12,92.15,98.18
678 Kawat dari besi atau baja,88.65,94.15,102.5,103.17,103.83,100.35,115.72,98.41,103.06,116.6,118.14,118.84,105.63
682 Tembaga,113.2,112.7,127.79,131.84,144.03,141.59,141.21,151.11,154.02,155.33,151.96,151.56,141.69
684 Aluminium,97.58,96.81,97.94,104.02,105.12,108.72,109.51,112.1,118.25,121.32,131.31,131.36,112.59
"691 Struktur dan bagian struktur, tidak dirinci, dari besi, baja atau aluminium",91.8,110.92,102.59,132.83,109.26,78.28,87.03,161.69,105.75,172.42,125.49,151.47,132.1
693 Produk kawat ( tidak termasuk kabel listrik terisolasi) dan pagar pemanggang,93.69,102.16,95.83,96.16,82.65,94.5,98.01,108.76,108.47,115.93,114.7,108.85,101.82
"694 Paku, sekrup, mur, baut, paku keling dan sejenisnya, dari besi, baja, tembaga atau aluminium",97.74,101.83,89.11,100.42,101.51,84.91,105.04,108.31,116.46,117.45,102.52,181.7,110.38
"697 Peralatan rumah tangga dari logam dasar, tidak dirinci",105.78,87.27,112.99,118.89,123.97,115.63,111.14,126.74,126.02,123.22,115.52,134.6,116.93
"699 Produk logam dasar, tidak dirinci",96.89,102.8,113.3,97.77,96.04,115.31,96.95,100.83,123.67,114.72,127.08,223.81,119.35
"713 Mesin internal pembakaran piston dan bagian-bagiannya, tidak dirinci",103.95,99.75,100.17,98.56,104.07,108.11,108.86,102.25,103.91,108.07,234.79,93.96,113.27
"742 Pompa air, ada atau tdk dilengkapi alat ukur, lift cair; bagian dari pompa dan lift",97.26,79.76,83.32,73.59,54.74,81.5,75.81,86.59,67.59,82.49,88.4,134.5,86.21
"743 Pompa (selain pompa air) udara atau gas lainnya, kompresor dan kipas angin; ventilasi atau penutup daur ulang dilengkapi dengan kipas angin, dilengkapi atau tidak dengan filter; sentrifugal, alat penyaringan atau pemurnian ; dan bagiannya",95.19,94.07,95.66,93.66,99.71,94.12,98,92.4,98.19,108,100.95,99.55,97.38
"747 Kran, kran, katup dan alat sejenis untuk pipa, ketel uap, tanki, tong atau sejenisnya, termasuk katup penurun tekanan dan katup termostaik yang dikendalikan",237.38,99.01,100.6,89.68,206.86,81.81,81.89,87.36,81.98,84.46,110.88,98.06,132.17
"748 Poros transmisi (termasuk camshaft atau crankshaffts) dan engkol, bantalan rumah dan poros polos; gigi dan gir, bola atau rol sekrup, kotak gir dan pengubah kecepatan lainnya(termasuk konverter torsi); roda gaya dan puli",119.15,95.96,101.75,107.89,100.29,102.5,96.51,104.06,113.4,108.03,104.25,114.14,105.95
751 Mesin kantor,108.64,103.63,119.01,107.7,102.33,104.46,103.96,112.16,110.41,108.32,119.75,115.17,110.06
"762 Pesawat penerima siaran radio, dikombinasi atau tidak, di pusat yang sama dengan alat rekaman suara atau jam",112.55,103.61,117.4,120.24,119.84,108.35,96.05,100.76,89.27,110.85,106.43,103.13,106.94
771 Mesin pembangkit listrik (selain pembangkit listrik di kelompok 76) dan bagiannya,102.31,93.63,98.05,104.76,105.11,102.79,103.29,108.16,99.54,105.01,112.58,108.27,103.93
